planet_name,mass,radius,orbital_period,semi_major_axis,eccentricity,star_teff,star_mass,star_radius,distance_pc,hz_inner_au,hz_outer_au,earth_sized,in_hz,habitability_label
K2-106 c,0.018,0.2534,13.339079,0.1091,0.18,5617.0,0.97,0.98,246.1,0.04222375369639104,0.09964805872348284,False,False,0
K2-107 b,0.84,1.426,3.313959,0.0475,,6061.0,1.3,1.81,696.95,0.03913064255281776,0.09234831642464991,True,True,1
K2-108 b,0.187,0.476,4.733999,0.0581,0.18,5599.0,1.17,1.76,484.99,0.042359497144602326,0.09996841326126149,False,True,0
K2-110 b,0.0525,0.228,13.86387,0.1027,0.079,4950.0,0.75,0.71,116.84,0.04791329788133908,0.11307538299996021,False,True,0
K2-111 b,0.01664,0.162,5.3518,0.057,0.13,5775.0,0.84,1.25,201.7,0.04106854104114778,0.09692175685710876,False,True,0
K2-113 b,1.28,1.083,5.817685,0.0642,0.0,5660.0,1.04,1.24,649.75,0.041902972528732936,0.09889101516780974,True,True,1
K2-114 b,1.85,0.952,11.391013,0.0954,0.0,5044.0,0.89,0.84,484.8,0.047020385510037364,0.11096810980368818,True,True,1
K2-115 b,0.84,1.115,20.273034,0.1367,0.137,5657.0,0.95,0.88,418.58,0.041925194363201065,0.09894345869715453,True,False,0
K2-116 b,,0.062,4.655411,0.048,0.06,4348.35,0.69,0.67,49.46,0.05454271724047706,0.12872081268752586,False,False,0
K2-117 b,,0.181,1.2916,0.0189,0.06,3778.0,0.54,0.51,101.95,0.06277681961689477,0.14815329429587165,False,False,0
K2-117 c,,0.184,5.444017,0.0492,0.15,3778.0,0.54,0.51,101.95,0.06277681961689477,0.14815329429587165,False,False,0
K2-118 b,,0.227,50.92092,0.245,0.2,4726.29,0.76,0.73,324.7,0.05018118323518626,0.11842759243503957,False,False,0
K2-119 b,,0.226,7.727283,0.0698,0.07,4740.0,0.76,0.71,369.66,0.05003603892671486,0.11808505186704707,False,True,0
K2-11 b,,0.674,39.93767,0.2257,,5257.0,0.9,0.85,332.46,0.045115241489942635,0.10647196991626462,False,False,0
K2-120 Ab,,0.179,9.562742,0.078,0.14,4349.9,0.69,0.67,287.156,0.0545232820323751,0.12867494559640524,False,True,0
