planet_name,mass,radius,orbital_period,semi_major_axis,eccentricity,star_teff,star_mass,star_radius,distance_pc,hz_inner_au,hz_outer_au,earth_sized,in_hz,habitability_label
K2-413 c,,0.109975,5.3301,0.0426,,4116.0,0.808,0.7,292.52,0.05762167748120225,0.1359871588556373,False,False,0
K2-414 b,,0.10875,4.3696,0.0487,,4343.0,0.814,0.732,260.036,0.05460990663426858,0.12887937965687385,False,False,0
K2-414 c,,0.172068,6.669,0.0552,,4343.0,0.814,0.732,260.036,0.05460990663426858,0.12887937965687385,False,True,0
K2-415 b,0.009,0.09055,4.0179694,0.027,0.03,3173.0,0.1635,0.1965,21.8043,0.07474655673262794,0.17640187388900191,False,False,0
K2-418 b,0.0327,0.2079,16.141132,0.124,0.23,5868.0,0.97,1.0,121.97,0.04041765925573082,0.09538567584352474,False,False,0
K2-419 Ab,0.617,0.941,20.35847252,0.1208,0.042,3711.0,0.562,0.541,263.8,0.06391021948602221,0.15082811798701243,True,True,1
K2-42 b,,0.192,6.68796,0.0617,,4613.0,0.7,0.64,401.36,0.051413575658493055,0.12133603855404361,False,True,0
K2-43 b,,0.402,3.471149,0.0201,,3840.6,0.57,0.54,183.48,0.061753586552264865,0.14573846426334508,False,False,0
K2-43 c,,0.216,2.198884,0.0148,,3840.6,0.57,0.54,183.48,0.061753586552264865,0.14573846426334508,False,False,0
K2-45 b,,0.599,1.7292684,0.0224,,4103.0,0.5,0.45,502.34,0.05780424677373348,0.136418022386011,False,False,0
K2-46 b,,0.183,19.1541,0.13821,,6256.0,0.96,1.29,454.93,0.03791093742209534,0.089469812316145,False,False,0
K2-47 b,,0.169,31.6372,0.1779,,5054.0,0.75,0.76,353.38,0.04692734952762731,0.11074854488520046,False,False,0
K2-48 b,,0.2,20.5065,0.1344,,4899.0,0.77,0.73,316.61,0.04841208910239405,0.11425253028164996,False,False,0
K2-49 b,,0.172,2.77065,0.0309,,4175.0,0.51,0.45,463.06,0.05680738311679723,0.13406542415564146,False,False,0
K2-4 b,,0.187,10.003417,0.078,0.08,4120.0,0.64,0.684,231.828,0.057565734105006906,0.1358551324878163,False,True,0
K2-52 b,0.4046,1.606,3.535055,0.054,,7147.0,1.69,2.19,1041.7,0.03318466832413998,0.07831581724497036,False,True,0
K2-53 b,0.0289,0.232,12.20772,0.098,,5263.0,0.85,0.81,139.1,0.04506380857165655,0.10635058822910948,False,True,0
K2-54 Bb,,0.103,9.7843,0.0671,,3996.0,0.617,0.637,175.84,0.05935205818634346,0.14007085731977056,False,True,0
K2-55 b,0.138,0.341,2.849258,0.03486,0.124,4456.0,0.7,0.63,160.26,0.05322505038434211,0.12561111890704738,False,False,0
K2-57 b,,0.187,9.0063,0.0746,,4434.0,0.68,0.62,266.23,0.053489134982550396,0.12623435855881893,False,True,0
K2-58 b,,0.239,7.05254,0.0692,,5413.0,0.89,0.86,182.69,0.0438150424002639,0.10340350006462279,False,True,0
K2-58 c,,0.145,2.53726,0.035,,5413.0,0.89,0.86,182.69,0.0438150424002639,0.10340350006462279,False,False,0
K2-58 d,,0.153,22.8827,0.1517,,5413.0,0.89,0.86,182.69,0.0438150424002639,0.10340350006462279,False,False,0
K2-59 b,,0.215,20.6921,0.1354,,5055.0,0.77,0.73,314.09,0.04691806617460503,0.11072663617206788,False,False,0
K2-59 c,,0.205,11.2954,0.0905,,5055.0,0.77,0.73,314.09,0.04691806617460503,0.11072663617206788,False,True,0
K2-5 b,,0.17,5.73594,0.0532,,4066.0,0.56,0.55,202.943,0.05833025688948068,0.1376594062591744,False,False,0
K2-5 c,,0.202,10.93241,0.0818,,4066.0,0.56,0.55,202.943,0.05833025688948068,0.1376594062591744,False,True,0
K2-60 b,0.426,0.683,3.00265,0.045,0.0,5500.0,0.97,1.12,498.7,0.04312196809320517,0.10176784469996421,False,True,0
K2-61 b,,0.221,2.57302,0.0392,,6293.0,1.21,1.36,410.35,0.03768803821907333,0.08894377019701305,False,True,0
K2-62 b,,0.191,6.67202,0.0636,,4880.0,0.77,0.73,112.83,0.0486005787935714,0.1146973659528285,False,True,0
K2-62 c,,0.191,16.1966,0.1148,,4880.0,0.77,0.73,112.83,0.0486005787935714,0.1146973659528285,False,False,0
K2-63 b,,0.287,20.257,0.1627,,6771.0,1.4,1.63,524.41,0.03502744417554696,0.08266476825429081,False,False,0
K2-63 c,,0.348,25.4556,0.189,,6771.0,1.4,1.63,524.41,0.03502744417554696,0.08266476825429081,False,False,0
K2-64 b,,0.185,6.53044,0.0619,,5312.0,0.74,0.73,506.87,0.044648122084455656,0.10536956811931535,False,True,0
K2-65 b,,0.141,12.6475,0.1014,,5213.0,0.87,0.84,78.06,0.04549603386008602,0.10737063990980301,False,True,0
K2-66 b,0.06702,0.222,5.06963,0.05983,0.0,5887.0,1.11,1.67,520.43,0.04028721326866459,0.09507782331404843,False,True,0
K2-68 b,,0.141,8.05428,0.0708,,4746.0,0.73,0.68,169.47,0.04997278224033469,0.11793576608718988,False,True,0
K2-69 b,,0.207,7.06599,0.0591,,4127.0,0.55,0.49,181.63,0.05746809413923636,0.13562470216859782,False,True,0
K2-6 b,,0.223,30.94191,0.1898,,5692.0,0.92,0.89,319.59,0.041667397138550326,0.09833505724697877,False,False,0
K2-70 b,,0.258,13.97896,0.1112,,5622.0,0.94,0.93,234.47,0.04218620144301466,0.0995594354055146,False,False,0
K2-71 b,,0.192,6.98541,0.0559,,4006.0,0.48,0.43,153.86,0.0592039002777405,0.13972120465546758,False,False,0
K2-72 b,,0.096,5.577212,0.04,0.11,3360.47,0.27,0.33,66.56,0.07057668258089744,0.16656097089091798,False,False,0
K2-72 c,,0.103,15.189034,0.078,0.11,3360.47,0.27,0.33,66.56,0.07057668258089744,0.16656097089091798,False,True,0
K2-72 d,,0.09,7.760178,0.05,0.11,3360.47,0.27,0.33,66.56,0.07057668258089744,0.16656097089091798,False,False,0
K2-72 e,,0.115,24.158868,0.106,0.11,3360.47,0.27,0.33,66.56,0.07057668258089744,0.16656097089091798,False,True,0
K2-73 b,,0.219,7.49543,0.07619,,5922.0,1.05,1.06,271.27,0.04004910917133206,0.09451589764434366,False,True,0
K2-74 b,,0.206,19.5666,0.1402,,6060.0,0.96,0.98,381.85,0.039137099754559146,0.09236355542075958,False,False,0
K2-75 b,,0.238,7.8142,0.081,,5995.0,1.16,1.56,570.86,0.03956143861761942,0.09336499513758183,False,True,0
K2-75 c,,0.247,18.311,0.1429,,5995.0,1.16,1.56,570.86,0.03956143861761942,0.09336499513758183,False,False,0
K2-79 b,0.0371,0.3649,10.99475,0.0987,0.078,5926.0,1.06,1.28,257.9,0.04002207636055154,0.09445210021090163,False,False,0
K2-7 b,,0.238,28.67992,0.1814,,5699.0,1.0,1.56,738.553,0.04161621767198253,0.09821427370587878,False,False,0
K2-80 b,,0.179,19.0918,0.135,,5441.0,0.9,0.87,201.96,0.04358956524768029,0.10287137398452548,False,False,0
K2-80 c,,0.131,5.605,0.0596,,5441.0,0.9,0.87,201.96,0.04358956524768029,0.10287137398452548,False,True,0
K2-81 b,,0.176,6.102325,0.059,0.06,4674.13,0.75,0.63,254.14,0.05074116991025676,0.11974916098820595,False,True,0
K2-83 b,,0.111,2.74697,0.03014,,3910.0,0.48,0.42,125.98,0.060657499875352544,0.143151699705832,False,False,0
K2-83 c,,0.132,9.99767,0.07131,,3910.0,0.48,0.42,125.98,0.060657499875352544,0.143151699705832,False,True,0
K2-84 b,,0.215,6.4215,0.0665,,5652.0,0.95,0.93,287.23,0.041962283176332,0.09903098829614351,False,True,0
K2-84 c,,0.181,27.86,0.1768,,5652.0,0.95,0.93,287.23,0.041962283176332,0.09903098829614351,False,False,0
K2-85 b,,0.09,0.684533,0.01263,,4268.0,0.57,0.51,97.49,0.055569546511862335,0.1311441297679951,False,False,0
K2-86 b,,0.175,8.77683,0.077,,5482.0,0.79,0.76,260.61,0.04326355791912229,0.10210199668912862,False,True,0
K2-87 b,0.1192,0.678,9.726618,0.094,,5747.0,1.16,1.4,503.6,0.0412686313750876,0.09739397004520674,False,True,0
K2-88 b,,0.11,4.6122,0.0345,,3537.0,0.26,0.26,110.91,0.06705423367617429,0.15824799147577132,False,False,0
K2-89 b,,0.055,1.096026,0.01462,,3691.0,0.35,0.32,86.25,0.06425652249055228,0.15164539307770336,False,False,0
K2-8 b,,0.319,10.35239,0.0856,,4846.0,0.78,0.75,407.93,0.04894156510784738,0.11550209365451983,False,True,0
K2-8 c,,0.215,5.06416,0.0532,,4846.0,0.78,0.75,407.93,0.04894156510784738,0.11550209365451983,False,True,0
K2-90 b,0.028,0.232,13.733314,0.096,,4484.0,0.63,0.62,134.9,0.05289269056927485,0.12482674974348865,False,True,0
K2-90 c,,0.116,2.900706,0.035,0.19,4484.0,0.63,0.62,134.9,0.05289269056927485,0.12482674974348865,False,False,0
K2-91 b,,0.098,1.419549,0.0164,,3622.0,0.29,0.28,62.69,0.0654806252105545,0.15453427549690865,False,False,0
K2-95 b,1.67,0.346,10.134016,0.0696,0.16,3548.0,0.44,0.42,180.63,0.0668463428727814,0.15775736917976413,False,True,0
K2-97 b,1.1,0.947,8.406726,0.086,,4717.0,1.2,4.47,869.76,0.05028001367662252,0.11866083227682915,True,True,1
K2-98 b,0.101,0.464,10.136448,0.0974,,6172.0,1.2,1.57,526.31,0.038426899629395404,0.09068748312537316,False,False,0
K2-99 b,0.87,1.046,18.24783,0.153,0.22,6217.0,1.63,2.63,522.29,0.038148757360886035,0.09003106737169103,True,False,0
K2-9 b,,0.201,18.4498,0.091,,3528.0,0.3,0.322,82.9631,0.06722529039473595,0.15865168533157684,False,True,0
KELT-10 b,0.679,1.399,4.166285,0.0525,,5948.0,1.112,1.209,183.0,0.03987404581584204,0.09410274812538721,True,True,1
KELT-11 Ab,0.195,1.3,4.736529,0.06229,0.0,5370.0,1.438,2.72,98.0,0.04416588910849692,0.10423149829605273,True,True,1
KELT-12 b,0.95,1.79,5.0316144,0.0617,0.0,6330.0,1.239,1.291,360.0,0.037467744788724874,0.08842387770139071,False,True,0
KELT-15 Ab,0.93,1.468,3.32,0.04664,,6003.0,1.181,1.481,201.0,0.03950871639390778,0.09324057068962237,True,True,1
KELT-16 Ab,2.75,1.415,0.9689951,0.02044,,6236.0,1.211,1.36,365.0,0.0380325247775222,0.08975675847495239,True,False,0
KELT-17 b,1.31,1.525,3.0801716,0.04881,,7454.0,1.635,1.645,210.0,0.031817926551197806,0.07509030666082682,False,True,0
KELT-18 Ab,1.176,1.568,2.8716082,0.04573,0.0,6670.0,1.524,1.908,311.0,0.03555784475451701,0.08391651362066015,False,True,0
KELT-20 b,3.518,1.83,3.4741085,0.0542,,8981.0,2.0,1.561,,0.026408064192476165,0.06232303149424375,False,True,0
KELT-21 Ab,3.88,1.584,3.6127732,0.0536,,7598.0,1.458,1.638,415.0,0.031214901883736303,0.07366716844561767,False,True,0
KELT-22 Ab,3.69,1.2,1.38665318,0.0248,0.0,5700.0,1.05,1.11,232.98,0.041608916581162884,0.09819704313154441,True,False,0
KELT-23 Ab,0.937,1.29,2.25528756,0.03523,,5899.0,0.942,0.996,125.42,0.040205259283374886,0.09488441190876473,True,False,0
KELT-2 Ab,1.486,1.306,4.1137914,0.05498,0.185,6148.0,1.31,1.842,128.9,0.03857690704499486,0.09104150062618788,True,True,1
KELT-3 Ab,1.47,1.35,2.7033904,0.04117,0.0,6518.0,1.34,1.61,210.252,0.03638705500347168,0.08587344980819317,True,True,1
KELT-4 Ab,0.9,1.7,2.989594,0.04321,0.03,6207.0,1.204,1.61,211.0,0.03821021822339753,0.09017611500721817,False,True,0
KELT-6 b,0.44,1.13,7.8456067,0.0747,0.029,6272.0,1.126,1.529,,0.037814225847038974,0.08924157299901198,True,True,1
KELT-7 b,1.24,1.293,2.734784,0.0446,,6789.0,1.535,1.732,129.0,0.03493457423959765,0.08244559520545046,True,True,1
KELT-8 b,0.874,1.86,3.24406,0.04571,0.035,5754.0,1.211,1.67,236.0,0.04121842622742934,0.09727548589673324,False,True,0
KELT-9 Ab,2.88,1.936,1.4811235,0.03368,0.0,10170.0,2.52,2.362,204.455,0.02332063171215619,0.05503669084068861,False,True,0
Kepler-1002 Ab,,0.1561,4.33642933,0.0564,0.0,6180.0,1.275,1.603,427.83,0.0383771560700046,0.09057008832521087,False,True,0
Kepler-1008 Ab,,0.116,12.43929428,0.0951,0.0,5066.94,0.85,0.724,282.565,0.046807506012036544,0.11046571418840624,False,True,0
Kepler-1019 Ab,,0.1526,1.411230023,0.0221,0.0,4205.32,0.658,0.7445,194.182,0.05639780670974586,0.13309882383500024,False,False,0
Kepler-101 b,0.16,0.51,3.4876812,0.0474,0.086,5667.0,1.17,1.56,953.44,0.04185121307792985,0.09876886286391444,False,True,0
Kepler-101 c,0.01,0.112,6.02976,0.0684,0.0,5667.0,1.17,1.56,953.44,0.04185121307792985,0.09876886286391444,False,True,0
Kepler-102 b,0.01353,0.042,5.28696,0.055,,4909.0,0.81,0.76,108.13,0.048313470057573527,0.11401978933587352,False,True,0
Kepler-102 c,0.00944,0.052,7.07142,0.067,,4909.0,0.81,0.76,108.13,0.048313470057573527,0.11401978933587352,False,True,0
Kepler-102 e,0.028,0.198,16.1457,0.117,0.0,4909.0,0.81,0.76,108.13,0.048313470057573527,0.11401978933587352,False,False,0
Kepler-102 f,0.01636,0.079,27.4536,0.165,,4909.0,0.81,0.76,108.13,0.048313470057573527,0.11401978933587352,False,False,0
Kepler-1035 Ab,,0.1231,2.714078374,0.0386,0.0,5753.5,1.03,0.97,562.116,0.041222008258039185,0.09728393948897249,False,False,0
Kepler-1038 c,,0.12633,7.127659798,0.0692,,5238.0,0.89,0.8,584.136,0.045278889750406344,0.10685817981095898,False,True,0
Kepler-103 b,0.031,0.301,15.9654,0.133,0.17,5845.0,1.09,1.44,501.93,0.04057670222628374,0.09576101725402962,False,False,0
Kepler-103 c,0.114,0.459,179.612,0.6679,0.1,5845.0,1.09,1.44,501.93,0.04057670222628374,0.09576101725402962,False,False,0
Kepler-1040 Ab,,0.2034,201.118319,0.6559,0.0,5694.0,1.01,0.9785,482.119,0.04165276159336643,0.09830051736034477,False,False,0
Kepler-104 Ab,0.031314,0.2123,11.427548,0.09286,0.0,5921.0,1.08,1.35,400.785,0.04005587308100463,0.09453186047117093,False,True,0
Kepler-104 Ac,0.0224785,0.2105,23.668205,0.15088,0.0,5921.0,1.08,1.35,400.785,0.04005587308100463,0.09453186047117093,False,False,0
Kepler-104 Ad,5.54,0.23508,51.755394,0.2542,0.0,5921.0,1.08,1.35,400.785,0.04005587308100463,0.09453186047117093,False,False,0
Kepler-1058 Ab,,0.1882,110.9643706,0.3679,0.0,4644.0,0.73,0.69,525.0,0.05107037564871413,0.12052608653096536,False,False,0
Kepler-105 b,0.016,0.429,5.4122,0.066,0.47,5827.0,0.96,0.89,465.33,0.04070204642399664,0.09605682956063208,False,True,0
Kepler-105 c,0.01447,0.117,7.1262,0.072,,5827.0,0.96,0.89,465.33,0.04070204642399664,0.09605682956063208,False,True,0
Kepler-1063 Ab,,0.1856,14.07969236,0.1176,0.0,5945.0,1.09,1.14,365.0,0.03989416728555567,0.09415023479391138,False,False,0
Kepler-1067 c,,0.15584,5.425839901,0.0601,0.0,5461.0,0.95,0.943,667.693,0.043429925748512815,0.10249462476649024,False,True,0
Kepler-1073 d,,0.132725,2.50475282,0.0352,0.0,5774.0,1.03,0.987,809.897,0.04107565370845661,0.0969385427519576,False,False,0
Kepler-1079 Ab,,0.1579,13.24503482,0.1092,0.0,5758.0,1.08,1.36,481.0,0.041189792378018134,0.0972079100121228,False,False,0
Kepler-107 b,0.01104,0.137,3.1800218,0.04544,0.0,5854.0,1.24,1.45,525.5,0.04051431918562153,0.09561379327806681,False,True,0
Kepler-107 c,0.02954,0.142,4.901452,0.06064,0.0,5854.0,1.24,1.45,525.5,0.04051431918562153,0.09561379327806681,False,True,0
Kepler-107 d,0.01196,0.077,7.95839,0.08377,0.0,5854.0,1.24,1.45,525.5,0.04051431918562153,0.09561379327806681,False,True,0
Kepler-107 e,0.02706,0.259,14.749143,0.12639,0.0,5854.0,1.24,1.45,525.5,0.04051431918562153,0.09561379327806681,False,False,0
Kepler-1086 Bb,,0.1909,18.78429232,0.1198,0.0,4484.48,0.7,0.615,466.084,0.052887029156697865,0.12481338880980697,False,True,0
Kepler-1086 Bc,,0.2569,161.515617,0.503,0.0,4484.48,0.7,0.615,466.084,0.052887029156697865,0.12481338880980697,False,False,0
Kepler-1087 Ab,,0.074,0.693842661,0.0148,0.0,5267.04,0.9,1.073,362.623,0.04502924308769792,0.10626901368696709,False,False,0
Kepler-108 Bb,,0.732,49.183921,0.2829,0.22,5626.0,1.247,2.057,1008.47,0.042156207698654184,0.09948865016882387,False,False,0
Kepler-108 Bc,,0.6941,190.323494,0.6972,0.04,5626.0,1.247,2.057,1008.47,0.042156207698654184,0.09948865016882387,False,False,0
Kepler-1090 Ac,,0.29369,42.42720032,0.2274,0.0,5217.0,0.89,1.035,858.77,0.04546115095124179,0.10728831624493064,False,False,0
Kepler-10 b,0.01019,0.1311,0.837491,0.01685,0.06,5708.0,0.91,1.06,186.5,0.04155059994965459,0.09805941588118484,False,False,0
Kepler-10 c,0.03552,0.2101,45.2943,0.241,0.136,5708.0,0.91,1.06,186.5,0.04155059994965459,0.09805941588118484,False,False,0
Kepler-110 b,,0.163,12.691112,0.107,,5960.0,,1.15,596.52,0.03979376250211887,0.09391327950500053,False,False,0
Kepler-110 c,,0.197,31.719775,0.198,,5960.0,,1.15,596.52,0.03979376250211887,0.09391327950500053,False,False,0
Kepler-111 b,,0.141,3.341815,0.046,,5952.0,,1.16,669.92,0.03984724874204107,0.09403950703121693,False,True,0
Kepler-111 c,,0.651,224.784608,0.761,,5952.0,,1.16,669.92,0.03984724874204107,0.09403950703121693,False,False,0
Kepler-1126 c,,0.15006,199.6679993,0.6193,0.0,5798.0,0.92,0.93,668.0,0.040905626856265684,0.09653727938078702,False,False,0
Kepler-112 b,,0.211,8.408878,0.076,,5544.0,,0.84,520.9,0.04277973025119561,0.10096016339282163,False,True,0
Kepler-112 c,,0.214,28.574263,0.172,,5544.0,,0.84,520.9,0.04277973025119561,0.10096016339282163,False,False,0
Kepler-1130 Ab,,0.07565,5.45298175,0.0596,0.0,5327.0,0.919,0.8707,249.343,0.04452239994605377,0.1050728638726869,False,True,0
Kepler-1130 Ac,,0.05745,3.266612036,0.04235,0.0,5327.0,0.919,0.8707,249.343,0.04452239994605377,0.1050728638726869,False,False,0
Kepler-1130 Ad,,0.05701,4.27225316,0.05065,0.0,5327.0,0.919,0.8707,249.343,0.04452239994605377,0.1050728638726869,False,True,0
Kepler-114 b,0.022,0.112,5.188549,0.053,,4605.0,0.71,0.67,261.49,0.05150289348808435,0.12154682863187907,False,True,0
Kepler-114 c,0.009,0.143,8.041,0.07,,4605.0,0.71,0.67,261.49,0.05150289348808435,0.12154682863187907,False,True,0
Kepler-114 d,0.012,0.226,11.776,0.09,,4605.0,0.71,0.67,261.49,0.05150289348808435,0.12154682863187907,False,True,0
Kepler-1150 Bb,,0.2079,2.787874175,0.0382,0.0,4604.0,0.729,0.73,358.518,0.05151408004183936,0.1215732288987409,False,False,0
Kepler-1157 Ab,,0.0705,4.45743267,0.0448,0.0,4533.0,0.714,0.745,342.144,0.0523209407704894,0.12347742021835498,False,False,0
Kepler-115 b,,0.097,2.403679,0.036,,5979.0,1.0,1.21,634.97,0.03966730632423958,0.09361484292520542,False,False,0
Kepler-115 c,,0.232,8.990889,0.087,,5979.0,1.0,1.21,634.97,0.03966730632423958,0.09361484292520542,False,True,0
Kepler-1165 c,,0.2998,29.96870041,0.1969,0.0,6019.0,1.11,1.735,1575.2,0.03940369239286068,0.0929927140471512,False,False,0
Kepler-116 b,,0.305,5.968734,0.069,,6142.0,1.16,1.45,982.04,0.03861459207304273,0.09113043729238085,False,True,0
Kepler-116 c,,0.205,13.07163,0.116,,6142.0,1.16,1.45,982.04,0.03861459207304273,0.09113043729238085,False,False,0
Kepler-1178 Ab,,0.0562,31.8055128,0.1596,0.0,5084.79,0.85,0.936,482.287,0.046643189691733276,0.11007792767249053,False,False,0
Kepler-117 b,0.094,0.719,18.7959228,0.1445,0.0493,6150.0,1.13,1.61,1430.0,0.038564361709370484,0.09101189363411434,False,False,0
Kepler-117 c,1.84,1.101,50.790391,0.2804,0.0323,6150.0,1.13,1.61,1430.0,0.038564361709370484,0.09101189363411434,True,False,0
Kepler-118 b,,0.175,7.518496,0.073,,5274.0,0.86,1.09,583.81,0.04496981883060835,0.1061287724402357,False,True,0
Kepler-118 c,,0.685,20.17202,0.141,,5274.0,0.86,1.09,583.81,0.04496981883060835,0.1061287724402357,False,False,0
Kepler-1197 Ab,,0.0999,2.032318856,0.0283,0.0,4552.0,0.718,0.746,486.94,0.052102553715428046,0.12296202676841018,False,False,0
Kepler-119 b,,0.321,2.422082,0.035,,5595.0,,0.84,716.23,0.04238978096740454,0.10003988308307472,False,False,0
Kepler-119 c,,0.082,4.125103,0.049,,5595.0,,0.84,716.23,0.04238978096740454,0.10003988308307472,False,True,0
Kepler-11 b,0.006,0.161,10.3039,0.091,0.045,5663.0,0.96,1.06,658.59,0.04188077423850052,0.09883862720286123,False,True,0
Kepler-11 c,0.009,0.256,13.0241,0.107,0.026,5663.0,0.96,1.06,658.59,0.04188077423850052,0.09883862720286123,False,False,0
Kepler-11 d,0.023,0.278,22.6845,0.155,0.004,5663.0,0.96,1.06,658.59,0.04188077423850052,0.09883862720286123,False,False,0
Kepler-11 e,0.025,0.374,31.9996,0.195,0.012,5663.0,0.96,1.06,658.59,0.04188077423850052,0.09883862720286123,False,False,0
Kepler-11 f,0.006,0.222,46.6888,0.25,0.013,5663.0,0.96,1.06,658.59,0.04188077423850052,0.09883862720286123,False,False,0
Kepler-11 g,0.079,0.297,118.3807,0.466,0.15,5663.0,0.96,1.06,658.59,0.04188077423850052,0.09883862720286123,False,False,0
Kepler-120 b,,0.192,6.312501,0.055,,4096.0,,0.53,393.02,0.05790303332827843,0.1366511586547371,False,False,0
Kepler-120 c,,0.136,12.794585,0.088,,4096.0,,0.53,393.02,0.05790303332827843,0.1366511586547371,False,True,0
Kepler-121 b,,0.209,3.177422,0.039,,5311.0,,0.7,518.09,0.04465652881051185,0.10538940799280798,False,False,0
Kepler-121 c,,0.203,41.008011,0.216,,5311.0,,0.7,518.09,0.04465652881051185,0.10538940799280798,False,False,0
Kepler-1229 Ab,,0.1195,86.82974,0.3006,0.0,3774.0,0.559,0.5658,265.482,0.0628433557267166,0.14831031951505116,False,False,0
Kepler-122 b,,0.209,5.766193,0.064,,6050.0,0.99,1.22,1058.58,0.039201789175641065,0.09251622245451292,False,True,0
Kepler-122 c,,0.524,12.465988,0.108,,6050.0,0.99,1.22,1058.58,0.039201789175641065,0.09251622245451292,False,False,0
Kepler-122 d,,0.196,21.587475,0.155,,6050.0,0.99,1.22,1058.58,0.039201789175641065,0.09251622245451292,False,False,0
Kepler-122 e,,0.232,37.993273,0.227,,6050.0,0.99,1.22,1058.58,0.039201789175641065,0.09251622245451292,False,False,0
Kepler-123 b,,0.262,17.232366,0.135,,6089.0,1.03,1.26,1052.14,0.038950702005687045,0.09192365673342143,False,False,0
Kepler-123 c,,0.132,26.695074,0.181,,6089.0,1.03,1.26,1052.14,0.038950702005687045,0.09192365673342143,False,False,0
Kepler-1248 Ab,,0.0928,7.46718958,0.0806,0.0,6149.0,1.21,1.21,593.026,0.03857063335707082,0.09102669472268712,False,True,0
Kepler-124 b,,0.065,3.410493,0.039,,4984.0,,0.64,425.19,0.04758644151537489,0.11230400197628473,False,False,0
Kepler-124 c,,0.156,13.821375,0.1,,4984.0,,0.64,425.19,0.04758644151537489,0.11230400197628473,False,True,0
Kepler-124 d,,0.099,30.950851,0.17,,4984.0,,0.64,425.19,0.04758644151537489,0.11230400197628473,False,False,0
Kepler-125 b,,0.211,4.164389,0.041,,3810.0,0.55,0.51,184.34,0.062249560239535026,0.14690896216530266,False,False,0
Kepler-125 c,,0.066,5.774464,0.051,,3810.0,0.55,0.51,184.34,0.062249560239535026,0.14690896216530266,False,False,0
Kepler-1265 Ab,,0.1561,6.49441464,0.0612,0.0,4630.0,0.71,0.69,581.0,0.051224800110718886,0.12089052826129656,False,True,0
Kepler-1266 c,,0.1499,4.86631012,0.052,0.0,5004.0,0.83,0.7228,849.312,0.04739624790420233,0.11185514505391748,False,True,0
Kepler-126 b,,0.136,10.495711,0.099,0.07,6239.0,,1.36,239.03,0.03801423697910377,0.08971359927068491,False,False,0
Kepler-126 c,,0.141,21.869741,0.162,0.19,6239.0,,1.36,239.03,0.03801423697910377,0.08971359927068491,False,False,0
Kepler-126 d,,0.223,100.283134,0.448,0.02,6239.0,,1.36,239.03,0.03801423697910377,0.08971359927068491,False,False,0
Kepler-127 b,,0.125,14.435889,0.125,0.47,6106.0,,1.36,356.41,0.03884225753564173,0.09166772778411449,False,False,0
Kepler-127 c,,0.237,29.393195,0.2,0.03,6106.0,,1.36,356.41,0.03884225753564173,0.09166772778411449,False,False,0
Kepler-127 d,,0.236,48.630408,0.28,0.03,6106.0,,1.36,356.41,0.03884225753564173,0.09166772778411449,False,False,0
Kepler-129 b,,0.211,15.79186,0.131,0.01,5770.0,1.18,1.64,413.68,0.04110412903165138,0.09700574451469725,False,False,0
Kepler-129 c,,0.227,82.20017,0.393,0.2,5770.0,1.18,1.64,413.68,0.04110412903165138,0.09700574451469725,False,False,0
Kepler-12 b,0.432,1.754,4.4379629,0.0553,0.01,5947.0,1.17,1.48,904.4,0.03988075071676954,0.09411857169157611,False,True,0
Kepler-130 Ab,,0.0928,8.45746707,0.0792,0.0,5958.0,1.091,1.179,316.663,0.039807120596278694,0.09394480460721771,False,True,0
Kepler-130 Ac,,0.25667,27.50868,0.1739,0.0,5958.0,1.091,1.179,316.663,0.039807120596278694,0.09394480460721771,False,False,0
Kepler-130 Ad,,0.12303,87.517905,0.37615,0.0,5958.0,1.091,1.179,316.663,0.039807120596278694,0.09394480460721771,False,False,0
Kepler-1311 d,,0.8616,197.5110016,0.6711,0.0,5719.0,1.02,1.753,866.331,0.04147068097790321,0.09787080710785158,True,False,0
Kepler-1312 c,,0.09162,1.116119981,0.0209,0.0,5602.86,0.991,0.947,299.104,0.042330314252476145,0.0998995416358437,False,False,0
Kepler-1315 c,,0.16451,6.566060066,0.064,0.0,4861.0,0.8,0.75,505.0,0.048790541969271434,0.11514567904748059,False,True,0
Kepler-1319 Ab,,0.1106,2.8867624,0.0296,0.33,3527.0,0.498,0.5,103.917,0.06724435058481101,0.15869666738015398,False,False,0
Kepler-1321 d,,0.23446,5.720920086,0.0501,0.0,4034.0,0.54,0.53,769.146,0.05879296591785534,0.1387513995661386,False,False,0
Kepler-1322 c,,0.192249,6.459980011,0.0652,0.0,5425.0,0.94,1.008,1350.32,0.04371812433412506,0.10317477342853514,False,True,0
Kepler-132 Ab,,0.1088,6.17817366,0.0643,0.0,5931.0,0.929,1.101,296.24,0.03998833662327237,0.0943724744309228,False,True,0
Kepler-132 Ac,,0.125,6.41491277,0.0659,0.0,5931.0,0.929,1.101,296.24,0.03998833662327237,0.0943724744309228,False,True,0
Kepler-132 Ad,,0.1722,18.01019956,0.1312,0.0,5931.0,0.929,1.101,296.24,0.03998833662327237,0.0943724744309228,False,False,0
Kepler-132 Ae,,0.1258,110.2867031,0.4393,0.0,5931.0,0.929,1.101,296.24,0.03998833662327237,0.0943724744309228,False,False,0
Kepler-133 b,,0.157,8.129976,0.083,,5736.0,,1.43,665.37,0.041347772753247636,0.09758074369766442,False,True,0
Kepler-133 c,,0.253,31.517586,0.204,,5736.0,,1.43,665.37,0.041347772753247636,0.09758074369766442,False,False,0
